[0.3334336  0.49905652],[0.32286683 0.50044245],[0.32310483 0.49353525],[0.32590118 0.50381166],[0.32826072 0.49040127],[0.36733773 0.50288814],[0.3784305  0.46371427],[0.42485058 0.55875444],[0.42407963 0.5608925 ],[0.43841895 0.48839498],[0.40655556 0.5316215 ],[0.5007399  0.50368744],[0.49738297 0.48751062],[0.59867644 0.5179758 ],[0.59707135 0.4828868 ],[0.67645246 0.5135801 ],[0.66675085 0.4826001 ]
[0.33796278 0.49785185],[0.3286048  0.50319827],[0.3292219  0.48989558],[0.32803994 0.51428235],[0.330621   0.47884035],[0.37137994 0.53524035],[0.38458827 0.45021644],[0.43606672 0.5537539 ],[0.43707895 0.4465643 ],[0.43961003 0.5268651 ],[0.45736328 0.47148278],[0.50204617 0.5207392 ],[0.4988817  0.47590044],[0.6015866 0.5210611],[0.60258466 0.4787166 ],[0.68044585 0.51834285],[0.67740124 0.48014754]
[0.33832085 0.4959124 ],[0.32923368 0.50386226],[0.33028805 0.48646072],[0.32956883 0.5141101 ],[0.33238566 0.47395173],[0.36982903 0.5338977 ],[0.3797929  0.45127624],[0.43585876 0.54629564],[0.43792146 0.4481932 ],[0.47156197 0.5336679 ],[0.4792478 0.4687783],[0.5003803 0.5206143],[0.50017637 0.47469938],[0.5993458 0.5236503],[0.6034911  0.47576377],[0.6800527 0.5224206],[0.67876434 0.47594908]
[0.33622903 0.49541086],[0.32671544 0.502459  ],[0.32751292 0.48579368],[0.32786268 0.51217407],[0.33017826 0.4731334 ],[0.37369624 0.5324259 ],[0.3786394  0.44987655],[0.4361439 0.5466748],[0.43802744 0.45124686],[0.48408306 0.5344874 ],[0.48409778 0.4822557 ],[0.49825758 0.5169276 ],[0.49539748 0.47537798],[0.5927031  0.52397746],[0.5917665  0.47722188],[0.6743216 0.5226151],[0.6785386 0.4775973]
[0.3354094  0.49493748],[0.325161   0.50059503],[0.327057  0.4850367],[0.32754716 0.51309127],[0.33001834 0.47165877],[0.37432984 0.5320657 ],[0.37690517 0.4451449 ],[0.4324226 0.5437921],[0.4395467  0.44619772],[0.47973946 0.5412692 ],[0.46585914 0.4849468 ],[0.49842596 0.5167795 ],[0.49445343 0.47374424],[0.5934543  0.52417225],[0.5953299  0.47489753],[0.66725916 0.521084  ],[0.6760378  0.47903374]
[0.33488303 0.49438503],[0.3231445  0.49929002],[0.32322818 0.4893969 ],[0.32893115 0.5009439 ],[0.3320206 0.4803223],[0.37461886 0.5085718 ],[0.380113  0.4519683],[0.4313421  0.53770393],[0.4367996  0.44783744],[0.47530106 0.5419634 ],[0.4737347 0.5305849],[0.49237153 0.50585043],[0.4902861 0.4850858],[0.5876548 0.5185264],[0.58821267 0.48832983],[0.65568376 0.5116063 ],[0.66695815 0.4991597 ]
[0.3373645 0.4956309],[0.3265137  0.49992087],[0.32652342 0.4858041 ],[0.3294495 0.5075062],[0.3298171 0.4721767],[0.3728522 0.5223962],[0.3761868  0.44937834],[0.42012084 0.54176575],[0.42722967 0.44486   ],[0.47526893 0.55396783],[0.41393057 0.47489268],[0.4924794  0.51085055],[0.49301615 0.47251856],[0.58368796 0.52537996],[0.58912647 0.4728242 ],[0.6442621  0.52167535],[0.6753838 0.4797826]
[0.337139   0.49475676],[0.32562098 0.4980335 ],[0.3252989 0.4859508],[0.32775274 0.505868  ],[0.32762364 0.47544706],[0.36849913 0.518273  ],[0.37228185 0.45164123],[0.41984633 0.5413001 ],[0.42017573 0.44418004],[0.47102666 0.5544181 ],[0.36109003 0.46223068],[0.49094507 0.51018214],[0.49094763 0.471999  ],[0.57774746 0.5239312 ],[0.5856868  0.47539502],[0.64241797 0.5192982 ],[0.6742268  0.47790006]
[0.33585554 0.49511233],[0.32596675 0.5006301 ],[0.32446936 0.48470277],[0.3255115 0.5091385],[0.32539406 0.47238937],[0.3641778  0.52170444],[0.36557612 0.4504341 ],[0.41252998 0.5405174 ],[0.41829646 0.4434533 ],[0.45908195 0.5552558 ],[0.35460806 0.46347627],[0.48585343 0.51388574],[0.49009693 0.46854293],[0.57517   0.5322029],[0.5885696  0.47492647],[0.64336413 0.5197518 ],[0.6740953 0.4774719]
[0.33625016 0.4949734 ],[0.32609683 0.50021714],[0.3249003  0.48474884],[0.3254634 0.5091133],[0.32584688 0.4723681 ],[0.36347416 0.52228934],[0.36341482 0.4505789 ],[0.4091735 0.5406163],[0.4158377  0.44435364],[0.4594021  0.55636466],[0.35668778 0.46292698],[0.4862552 0.5140511],[0.49025998 0.4693558 ],[0.5777253 0.5320223],[0.58876276 0.47538102],[0.6431664  0.52007157],[0.67386013 0.47665003]
[0.33587226 0.49684453],[0.3255103 0.5005542],[0.32509768 0.48686835],[0.32309568 0.51115197],[0.32455525 0.47468218],[0.36171955 0.5254678 ],[0.36151013 0.45207924],[0.40837276 0.5405294 ],[0.417246  0.4448551],[0.46028027 0.55645895],[0.34304354 0.46277672],[0.4878853  0.51201344],[0.4884959  0.47042185],[0.58103824 0.5289191 ],[0.5858351  0.47421136],[0.643749  0.5216974],[0.669592  0.4748985]
